ElapsedTime,RobotID,Team,Vx_Command,Vy_Command,Angular_Command,Pos_X,Pos_Y,Orientation,Vx_Actual,Vy_Actual
0.003,0,0,0,0,0,-0.068803,0.092067,0,0,0
0.003,1,0,0,0,0,-1.17241,-3.20914,0.824943,0,0
0.003,2,0,0,0,0,0,0,0,0,0
0.003,3,0,0,0,0,0,0,0,0,0
0.003,4,0,0,0,0,0,0,0,0,0
0.003,5,0,0,0,0,0,0,0,0,0
0.003,0,1,0,0,0,0.40326,-3.14874,3.11716,0,0
0.003,1,1,0,0,0,0.799975,-3.15,-3.14159,0,0
0.003,2,1,0,0,0,0,0,0,0,0
0.003,3,1,0,0,0,0,0,0,0,0
0.003,4,1,0,0,0,0,0,0,0,0
0.003,5,1,0,0,0,0,0,0,0,0
0.019,0,0,0,0,0,-0.068803,0.092067,0,0,0
0.019,1,0,0,0,0,-1.17241,-3.20914,0.824943,0,0
0.019,2,0,0,0,0,0,0,0,0,0
0.019,3,0,0,0,0,0,0,0,0,0
0.019,4,0,0,0,0,0,0,0,0,0
0.019,5,0,0,0,0,0,0,0,0,0
0.019,0,1,0,0,0,0.40326,-3.14874,3.11716,0,0
0.019,1,1,0,0,0,0.799975,-3.15,-3.14159,0,0
0.019,2,1,0,0,0,0,0,0,0,0
0.019,3,1,0,0,0,0,0,0,0,0
0.019,4,1,0,0,0,0,0,0,0,0
0.019,5,1,0,0,0,0,0,0,0,0
0.036,0,0,0,0,0,-0.068803,0.092067,0,0,0
0.036,1,0,0,0,0,-1.17241,-3.20914,0.824943,0,0
0.036,2,0,0,0,0,0,0,0,0,0
0.036,3,0,0,0,0,0,0,0,0,0
0.036,4,0,0,0,0,0,0,0,0,0
0.036,5,0,0,0,0,0,0,0,0,0
0.036,0,1,0,0,0,0.40326,-3.14874,3.11716,0,0
0.036,1,1,0,0,0,0.799975,-3.15,-3.14159,0,0
0.036,2,1,0,0,0,0,0,0,0,0
0.036,3,1,0,0,0,0,0,0,0,0
0.036,4,1,0,0,0,0,0,0,0,0
0.036,5,1,0,0,0,0,0,0,0,0
0.051,0,0,0,0,0,-0.068803,0.092067,0,0,0
0.051,1,0,0,0,0,-1.17241,-3.20914,0.824943,0,0
0.051,2,0,0,0,0,0,0,0,0,0
0.051,3,0,0,0,0,0,0,0,0,0
0.051,4,0,0,0,0,0,0,0,0,0
0.051,5,0,0,0,0,0,0,0,0,0
0.051,0,1,0,0,0,0.40326,-3.14874,3.11716,0,0
0.051,1,1,0,0,0,0.799975,-3.15,-3.14159,0,0
0.051,2,1,0,0,0,0,0,0,0,0
0.051,3,1,0,0,0,0,0,0,0,0
0.051,4,1,0,0,0,0,0,0,0,0
0.051,5,1,0,0,0,0,0,0,0,0
0.067,0,0,0,0,0,-0.068803,0.092067,0,0,0
