ElapsedTime,RobotID,Team,Vx_Command,Vy_Command,Angular_Command,Pos_X,Pos_Y,Orientation,Vx_Actual,Vy_Actual
0.010,0,0,0,0,0,-0.0748491,0.0716961,0,0,0
0.010,1,0,0,0,0,-1.17241,-3.20914,0.824943,0,0
0.010,2,0,0,0,0,0,0,0,0,0
0.010,3,0,0,0,0,0,0,0,0,0
0.010,4,0,0,0,0,0,0,0,0,0
0.010,5,0,0,0,0,0,0,0,0,0
0.010,0,1,0,0,0,0.40326,-3.14874,3.11716,0,0
0.010,1,1,0,0,0,0.799975,-3.15,-3.14159,0,0
0.010,2,1,0,0,0,0,0,0,0,0
0.010,3,1,0,0,0,0,0,0,0,0
0.010,4,1,0,0,0,0,0,0,0,0
0.010,5,1,0,0,0,0,0,0,0,0
0.027,0,0,0,0,0,-0.0748491,0.0716961,0,0,0
0.027,1,0,0,0,0,-1.17241,-3.20914,0.824943,0,0
0.027,2,0,0,0,0,0,0,0,0,0
0.027,3,0,0,0,0,0,0,0,0,0
0.027,4,0,0,0,0,0,0,0,0,0
0.027,5,0,0,0,0,0,0,0,0,0
0.027,0,1,0,0,0,0.40326,-3.14874,3.11716,0,0
0.027,1,1,0,0,0,0.799975,-3.15,-3.14159,0,0
0.027,2,1,0,0,0,0,0,0,0,0
0.027,3,1,0,0,0,0,0,0,0,0
0.027,4,1,0,0,0,0,0,0,0,0
0.027,5,1,0,0,0,0,0,0,0,0
0.042,0,0,0,0,0,-0.0748491,0.0716961,0,0,0
0.042,1,0,0,0,0,-1.17241,-3.20914,0.824943,0,0
0.042,2,0,0,0,0,0,0,0,0,0
0.042,3,0,0,0,0,0,0,0,0,0
0.042,4,0,0,0,0,0,0,0,0,0
0.042,5,0,0,0,0,0,0,0,0,0
0.042,0,1,0,0,0,0.40326,-3.14874,3.11716,0,0
0.042,1,1,0,0,0,0.799975,-3.15,-3.14159,0,0
0.042,2,1,0,0,0,0,0,0,0,0
0.042,3,1,0,0,0,0,0,0,0,0
0.042,4,1,0,0,0,0,0,0,0,0
0.042,5,1,0,0,0,0,0,0,0,0
0.059,0,0,0,0,0,-0.0748491,0.0716961,0,0,0
0.059,1,0,0,0,0,-1.17241,-3.20914,0.824943,0,0
0.059,2,0,0,0,0,0,0,0,0,0
0.059,3,0,0,0,0,0,0,0,0,0
0.059,4,0,0,0,0,0,0,0,0,0
0.059,5,0,0,0,0,0,0,0,0,0
0.059,0,1,0,0,0,0.40326,-3.14874,3.11716,0,0
0.059,1,1,0,0,0,0.799975,-3.15,-3.14159,0,0
0.059,2,1,0,0,0,0,0,0,0,0
0.059,3,1,0,0,0,0,0,0,0,0
0.059,4,1,0,0,0,0,0,0,0,0
0.059,5,1,0,0,0,0,0,0,0,0
0.074,0,0,0,0,0,-0.0748491,0.0716961,0,0,0
0.074,1,0,0,0,0,-1.17241,-3.20914,0.824943,0,0
0.074,2,0,0,0,0,0,0,0,0,0
0.074,3,0,0,0,0,0,0,0,0,0
0.074,4,0,0,0,0,0,0,0,0,0
0.074,5,0,0,0,0,0,0,0,0,0
0.074,0,1,0,0,0,0.40326,-3.14874,3.11716,0,0
0.074,1,1,0,0,0,0.799975,-3.15,-3.14159,0,0
0.074,2,1,0,0,0,0,0,0,0,0
0.074,3,1,0,0,0,0,0,0,0,0
0.074,4,1,0,0,0,0,0,0,0,0
0.074,5,1,0,0,0,0,0,0,0,0
0.091,0,0,0,0,0,-0.0748491,0.0716961,0,0,0
0.091,1,0,0,0,0,-1.17241,-3.20914,0.824943,0,0
0.091,2,0,0,0,0,0,0,0,0,0
0.091,3,0,0,0,0,0,0,0,0,0
0.091,4,0,0,0,0,0,0,0,0,0
0.091,5,0,0,0,0,0,0,0,0,0
0.091,0,1,0,0,0,0.40326,-3.14874,3.11716,0,0
0.091,1,1,0,0,0,0.799975,-3.15,-3.14159,0,0
0.091,2,1,0,0,0,0,0,0,0,0
0.091,3,1,0,0,0,0,0,0,0,0
0.091,4,1,0,0,0,0,0,0,0,0
0.091,5,1,0,0,0,0,0,0,0,0
0.106,0,0,0,0,0,-0.0748491,0.0716961,0,0,0
0.106,1,0,0,0,0,-1.17241,-3.20914,0.824943,0,0
0.106,2,0,0,0,0,0,0,0,0,0
0.106,3,0,0,0,0,0,0,0,0,0
0.106,4,0,0,0,0,0,0,0,0,0
0.106,5,0,0,0,0,0,0,0,0,0
0.106,0,1,0,0,0,0.40326,-3.14874,3.11716,0,0
0.106,1,1,0,0,0,0.799975,-3.15,-3.14159,0,0
0.106,2,1,0,0,0,0,0,0,0,0
0.106,3,1,0,0,0,0,0,0,0,0
0.106,4,1,0,0,0,0,0,0,0,0
0.106,5,1,0,0,0,0,0,0,0,0
0.122,0,0,0,0,0,-0.0748491,0.0716961,0,0,0
0.122,1,0,0,0,0,-1.17241,-3.20914,0.824943,0,0
0.122,2,0,0,0,0,0,0,0,0,0
0.122,3,0,0,0,0,0,0,0,0,0
0.122,4,0,0,0,0,0,0,0,0,0
0.122,5,0,0,0,0,0,0,0,0,0
0.122,0,1,0,0,0,0.40326,-3.14874,3.11716,0,0
0.122,1,1,0,0,0,0.799975,-3.15,-3.14159,0,0
0.122,2,1,0,0,0,0,0,0,0,0
0.122,3,1,0,0,0,0,0,0,0,0
0.122,4,1,0,0,0,0,0,0,0,0
0.122,5,1,0,0,0,0,0,0,0,0
0.138,0,0,0,0,0,-0.0748491,0.0716961,0,0,0
0.138,1,0,0,0,0,-1.17241,-3.20914,0.824943,0,0
0.138,2,0,0,0,0,0,0,0,0,0
0.138,3,0,0,0,0,0,0,0,0,0
0.138,4,0,0,0,0,0,0,0,0,0
0.138,5,0,0,0,0,0,0,0,0,0
0.138,0,1,0,0,0,0.40326,-3.14874,3.11716,0,0
0.138,1,1,0,0,0,0.799975,-3.15,-3.14159,0,0
0.138,2,1,0,0,0,0,0,0,0,0
0.138,3,1,0,0,0,0,0,0,0,0
0.138,4,1,0,0,0,0,0,0,0,0
0.138,5,1,0,0,0,0,0,0,0,0
