ElapsedTime,RobotID,Team,Vx_Command,Vy_Command,Angular_Command,Pos_X,Pos_Y,Orientation,Vx_Actual,Vy_Actual
0.009,0,0,0,0,0,-0.0236733,-0.0757406,0,0,0
0.009,1,0,0,0,0,-1.17241,-3.20914,0.824943,0,0
0.009,2,0,0,0,0,0,0,0,0,0
0.009,3,0,0,0,0,0,0,0,0,0
0.009,4,0,0,0,0,0,0,0,0,0
0.009,5,0,0,0,0,0,0,0,0,0
0.009,0,1,0,0,0,0.40326,-3.14874,3.11716,0,0
0.009,1,1,0,0,0,0.799975,-3.15,-3.14159,0,0
0.009,2,1,0,0,0,0,0,0,0,0
0.009,3,1,0,0,0,0,0,0,0,0
0.009,4,1,0,0,0,0,0,0,0,0
0.009,5,1,0,0,0,0,0,0,0,0
0.026,0,0,0,0,0,-0.0236733,-0.0757406,0,0,0
0.026,1,0,0,0,0,-1.17241,-3.20914,0.824943,0,0
0.026,2,0,0,0,0,0,0,0,0,0
0.026,3,0,0,0,0,0,0,0,0,0
0.026,4,0,0,0,0,0,0,0,0,0
0.026,5,0,0,0,0,0,0,0,0,0
0.026,0,1,0,0,0,0.40326,-3.14874,3.11716,0,0
0.026,1,1,0,0,0,0.799975,-3.15,-3.14159,0,0
0.026,2,1,0,0,0,0,0,0,0,0
0.026,3,1,0,0,0,0,0,0,0,0
0.026,4,1,0,0,0,0,0,0,0,0
0.026,5,1,0,0,0,0,0,0,0,0
0.041,0,0,0,0,0,-0.0236733,-0.0757406,0,0,0
0.041,1,0,0,0,0,-1.17241,-3.20914,0.824943,0,0
0.041,2,0,0,0,0,0,0,0,0,0
0.041,3,0,0,0,0,0,0,0,0,0
0.041,4,0,0,0,0,0,0,0,0,0
0.041,5,0,0,0,0,0,0,0,0,0
0.041,0,1,0,0,0,0.40326,-3.14874,3.11716,0,0
0.041,1,1,0,0,0,0.799975,-3.15,-3.14159,0,0
0.041,2,1,0,0,0,0,0,0,0,0
0.041,3,1,0,0,0,0,0,0,0,0
0.041,4,1,0,0,0,0,0,0,0,0
0.041,5,1,0,0,0,0,0,0,0,0
0.058,0,0,0,0,0,-0.0236733,-0.0757406,0,0,0
0.058,1,0,0,0,0,-1.17241,-3.20914,0.824943,0,0
0.058,2,0,0,0,0,0,0,0,0,0
0.058,3,0,0,0,0,0,0,0,0,0
0.058,4,0,0,0,0,0,0,0,0,0
0.058,5,0,0,0,0,0,0,0,0,0
0.058,0,1,0,0,0,0.40326,-3.14874,3.11716,0,0
0.058,1,1,0,0,0,0.799975,-3.15,-3.14159,0,0
0.058,2,1,0,0,0,0,0,0,0,0
0.058,3,1,0,0,0,0,0,0,0,0
0.058,4,1,0,0,0,0,0,0,0,0
0.058,5,1,0,0,0,0,0,0,0,0
0.073,0,0,0,0,0,-0.0236733,-0.0757406,0,0,0
0.073,1,0,0,0,0,-1.17241,-3.20914,0.824943,0,0
0.073,2,0,0,0,0,0,0,0,0,0
0.073,3,0,0,0,0,0,0,0,0,0
0.073,4,0,0,0,0,0,0,0,0,0
0.073,5,0,0,0,0,0,0,0,0,0
0.073,0,1,0,0,0,0.40326,-3.14874,3.11716,0,0
0.073,1,1,0,0,0,0.799975,-3.15,-3.14159,0,0
0.073,2,1,0,0,0,0,0,0,0,0
0.073,3,1,0,0,0,0,0,0,0,0
0.073,4,1,0,0,0,0,0,0,0,0
0.073,5,1,0,0,0,0,0,0,0,0
0.089,0,0,0,0,0,-0.0236733,-0.0757406,0,0,0
0.089,1,0,0,0,0,-1.17241,-3.20914,0.824943,0,0
0.089,2,0,0,0,0,0,0,0,0,0
0.089,3,0,0,0,0,0,0,0,0,0
0.089,4,0,0,0,0,0,0,0,0,0
0.089,5,0,0,0,0,0,0,0,0,0
0.089,0,1,0,0,0,0.40326,-3.14874,3.11716,0,0
0.089,1,1,0,0,0,0.799975,-3.15,-3.14159,0,0
0.089,2,1,0,0,0,0,0,0,0,0
0.089,3,1,0,0,0,0,0,0,0,0
0.089,4,1,0,0,0,0,0,0,0,0
0.089,5,1,0,0,0,0,0,0,0,0
