ElapsedTime,RobotID,Team,Vx_Command,Vy_Command,Angular_Command,Pos_X,Pos_Y,Orientation,Vx_Actual,Vy_Actual
0.004,0,0,0,0,0,1.17103,-0.515902,1.70484,0.401647,-0.287626
0.004,1,0,0,0,0,0,0,0,0,0
0.004,2,0,0,0,0,0,0,0,0,0
0.004,3,0,0,0,0,0,0,0,0,0
0.004,4,0,0,0,0,0,0,0,0,0
0.004,5,0,0,0,0,0,0,0,0,0
0.004,0,1,0,0,0,0,0,0,0,0
0.004,1,1,0,0,0,0,0,0,0,0
0.004,2,1,0,0,0,0,0,0,0,0
0.004,3,1,0,0,0,0,0,0,0,0
0.004,4,1,0,0,0,0,0,0,0,0
0.004,5,1,0,0,0,0,0,0,0,0
0.020,0,0,0,0,0,1.17103,-0.515902,1.70484,0.401647,-0.287626
0.020,1,0,0,0,0,0,0,0,0,0
0.020,2,0,0,0,0,0,0,0,0,0
0.020,3,0,0,0,0,0,0,0,0,0
0.020,4,0,0,0,0,0,0,0,0,0
0.020,5,0,0,0,0,0,0,0,0,0
0.020,0,1,0,0,0,0,0,0,0,0
0.020,1,1,0,0,0,0,0,0,0,0
0.020,2,1,0,0,0,0,0,0,0,0
0.020,3,1,0,0,0,0,0,0,0,0
0.020,4,1,0,0,0,0,0,0,0,0
0.020,5,1,0,0,0,0,0,0,0,0
0.036,0,0,0,0,0,1.17103,-0.515902,1.70484,0.401647,-0.287626
0.036,1,0,0,0,0,0,0,0,0,0
0.036,2,0,0,0,0,0,0,0,0,0
0.036,3,0,0,0,0,0,0,0,0,0
0.036,4,0,0,0,0,0,0,0,0,0
0.036,5,0,0,0,0,0,0,0,0,0
0.036,0,1,0,0,0,0,0,0,0,0
0.036,1,1,0,0,0,0,0,0,0,0
0.036,2,1,0,0,0,0,0,0,0,0
0.036,3,1,0,0,0,0,0,0,0,0
0.036,4,1,0,0,0,0,0,0,0,0
0.036,5,1,0,0,0,0,0,0,0,0
0.052,0,0,0,0,0,1.17103,-0.515902,1.70484,0.401647,-0.287626
0.052,1,0,0,0,0,0,0,0,0,0
0.052,2,0,0,0,0,0,0,0,0,0
0.052,3,0,0,0,0,0,0,0,0,0
0.052,4,0,0,0,0,0,0,0,0,0
0.052,5,0,0,0,0,0,0,0,0,0
0.052,0,1,0,0,0,0,0,0,0,0
0.052,1,1,0,0,0,0,0,0,0,0
0.052,2,1,0,0,0,0,0,0,0,0
0.052,3,1,0,0,0,0,0,0,0,0
0.052,4,1,0,0,0,0,0,0,0,0
0.052,5,1,0,0,0,0,0,0,0,0
0.067,0,0,0,0,0,1.17103,-0.515902,1.70484,0.401647,-0.287626
0.067,1,0,0,0,0,0,0,0,0,0
0.067,2,0,0,0,0,0,0,0,0,0
0.067,3,0,0,0,0,0,0,0,0,0
0.067,4,0,0,0,0,0,0,0,0,0
0.067,5,0,0,0,0,0,0,0,0,0
0.067,0,1,0,0,0,0,0,0,0,0
0.067,1,1,0,0,0,0,0,0,0,0
0.067,2,1,0,0,0,0,0,0,0,0
0.067,3,1,0,0,0,0,0,0,0,0
0.067,4,1,0,0,0,0,0,0,0,0
0.067,5,1,0,0,0,0,0,0,0,0
0.084,0,0,0,0,0,1.17103,-0.515902,1.70484,0.401647,-0.287626
0.084,1,0,0,0,0,0,0,0,0,0
0.084,2,0,0,0,0,0,0,0,0,0
0.084,3,0,0,0,0,0,0,0,0,0
0.084,4,0,0,0,0,0,0,0,0,0
