ElapsedTime,RobotID,Team,Vx_Command,Vy_Command,Angular_Command,Pos_X,Pos_Y,Orientation,Vx_Actual,Vy_Actual
0.001,0,0,0,0,0,-0.0748491,0.0716961,0,0,0
0.001,1,0,0,0,0,-1.17241,-3.20914,0.824943,0,0
0.001,2,0,0,0,0,0,0,0,0,0
0.001,3,0,0,0,0,0,0,0,0,0
0.001,4,0,0,0,0,0,0,0,0,0
0.001,5,0,0,0,0,0,0,0,0,0
0.001,0,1,0,0,0,0.40326,-3.14874,3.11716,0,0
0.001,1,1,0,0,0,0.799975,-3.15,-3.14159,0,0
0.001,2,1,0,0,0,0,0,0,0,0
0.001,3,1,0,0,0,0,0,0,0,0
0.001,4,1,0,0,0,0,0,0,0,0
0.001,5,1,0,0,0,0,0,0,0,0
0.005,0,0,0,0,0,-0.0748491,0.0716961,0,0,0
0.005,1,0,0,0,0,-1.17241,-3.20914,0.824943,0,0
0.005,2,0,0,0,0,0,0,0,0,0
0.005,3,0,0,0,0,0,0,0,0,0
0.005,4,0,0,0,0,0,0,0,0,0
0.005,5,0,0,0,0,0,0,0,0,0
0.005,0,1,0,0,0,0.40326,-3.14874,3.11716,0,0
0.005,1,1,0,0,0,0.799975,-3.15,-3.14159,0,0
0.005,2,1,0,0,0,0,0,0,0,0
0.005,3,1,0,0,0,0,0,0,0,0
0.005,4,1,0,0,0,0,0,0,0,0
0.005,5,1,0,0,0,0,0,0,0,0
0.021,0,0,0,0,0,-0.0748491,0.0716961,0,0,0
0.021,1,0,0,0,0,-1.17241,-3.20914,0.824943,0,0
0.021,2,0,0,0,0,0,0,0,0,0
0.021,3,0,0,0,0,0,0,0,0,0
0.021,4,0,0,0,0,0,0,0,0,0
0.021,5,0,0,0,0,0,0,0,0,0
0.021,0,1,0,0,0,0.40326,-3.14874,3.11716,0,0
0.021,1,1,0,0,0,0.799975,-3.15,-3.14159,0,0
0.021,2,1,0,0,0,0,0,0,0,0
0.021,3,1,0,0,0,0,0,0,0,0
0.021,4,1,0,0,0,0,0,0,0,0
0.021,5,1,0,0,0,0,0,0,0,0
0.038,0,0,0,0,0,-0.0748491,0.0716961,0,0,0
0.038,1,0,0,0,0,-1.17241,-3.20914,0.824943,0,0
0.038,2,0,0,0,0,0,0,0,0,0
0.038,3,0,0,0,0,0,0,0,0,0
0.038,4,0,0,0,0,0,0,0,0,0
0.038,5,0,0,0,0,0,0,0,0,0
0.038,0,1,0,0,0,0.40326,-3.14874,3.11716,0,0
0.038,1,1,0,0,0,0.799975,-3.15,-3.14159,0,0
0.038,2,1,0,0,0,0,0,0,0,0
0.038,3,1,0,0,0,0,0,0,0,0
0.038,4,1,0,0,0,0,0,0,0,0
0.038,5,1,0,0,0,0,0,0,0,0
0.054,0,0,0,0,0,-0.0748491,0.0716961,0,0,0
0.054,1,0,0,0,0,-1.17241,-3.20914,0.824943,0,0
0.054,2,0,0,0,0,0,0,0,0,0
0.054,3,0,0,0,0,0,0,0,0,0
0.054,4,0,0,0,0,0,0,0,0,0
0.054,5,0,0,0,0,0,0,0,0,0
0.054,0,1,0,0,0,0.40326,-3.14874,3.11716,0,0
0.054,1,1,0,0,0,0.799975,-3.15,-3.14159,0,0
0.054,2,1,0,0,0,0,0,0,0,0
0.054,3,1,0,0,0,0,0,0,0,0
0.054,4,1,0,0,0,0,0,0,0,0
0.054,5,1,0,0,0,0,0,0,0,0
0.069,0,0,0,0,0,-0.0748491,0.0716961,0,0,0
0.069,1,0,0,0,0,-1.17241,-3.20914,0.824943,0,0
0.069,2,0,0,0,0,0,0,0,0,0
0.069,3,0,0,0,0,0,0,0,0,0
0.069,4,0,0,0,0,0,0,0,0,0
0.069,5,0,0,0,0,0,0,0,0,0
0.069,0,1,0,0,0,0.40326,-3.14874,3.11716,0,0
0.069,1,1,0,0,0,0.799975,-3.15,-3.14159,0,0
0.069,2,1,0,0,0,0,0,0,0,0
0.069,3,1,0,0,0,0,0,0,0,0
0.069,4,1,0,0,0,0,0,0,0,0
0.069,5,1,0,0,0,0,0,0,0,0
0.086,0,0,0,0,0,-0.0748491,0.0716961,0,0,0
0.086,1,0,0,0,0,-1.17241,-3.20914,0.824943,0,0
0.086,2,0,0,0,0,0,0,0,0,0
0.086,3,0,0,0,0,0,0,0,0,0
