ElapsedTime,RobotID,Team,Vx_Command,Vy_Command,Angular_Command,Pos_X,Pos_Y,Orientation,Vx_Actual,Vy_Actual
0.002,0,0,0,0,0,0.752577,-0.0773656,-0.561193,-0.273571,0.0982216
0.002,1,0,0,0,0,0,0,0,0,0
0.002,2,0,0,0,0,0,0,0,0,0
0.002,3,0,0,0,0,0,0,0,0,0
0.002,4,0,0,0,0,0,0,0,0,0
0.002,5,0,0,0,0,0,0,0,0,0
0.002,0,1,0,0,0,0,0,0,0,0
0.002,1,1,0,0,0,0,0,0,0,0
0.002,2,1,0,0,0,0,0,0,0,0
0.002,3,1,0,0,0,0,0,0,0,0
0.002,4,1,0,0,0,0,0,0,0,0
0.002,5,1,0,0,0,0,0,0,0,0
0.018,0,0,0.507716,0.150639,0,0.746142,-0.0753194,-0.576114,-0.304704,0.105401
0.018,1,0,0,0,0,0,0,0,0,0
0.018,2,0,0,0,0,0,0,0,0,0
0.018,3,0,0,0,0,0,0,0,0,0
0.018,4,0,0,0,0,0,0,0,0,0
0.018,5,0,0,0,0,0,0,0,0,0
0.018,0,1,0,0,0,0,0,0,0,0
0.018,1,1,0,0,0,0,0,0,0,0
0.018,2,1,0,0,0,0,0,0,0,0
0.018,3,1,0,0,0,0,0,0,0,0
0.018,4,1,0,0,0,0,0,0,0,0
0.018,5,1,0,0,0,0,0,0,0,0
0.033,0,0,0.523021,0.145998,0,0.738489,-0.0729991,-0.5893,-0.346716,0.11499
0.033,1,0,0,0,0,0,0,0,0,0
0.033,2,0,0,0,0,0,0,0,0,0
0.033,3,0,0,0,0,0,0,0,0,0
0.033,4,0,0,0,0,0,0,0,0,0
0.033,5,0,0,0,0,0,0,0,0,0
0.033,0,1,0,0,0,0,0,0,0,0
0.033,1,1,0,0,0,0,0,0,0,0
0.033,2,1,0,0,0,0,0,0,0,0
0.033,3,1,0,0,0,0,0,0,0,0
0.033,4,1,0,0,0,0,0,0,0,0
0.033,5,1,0,0,0,0,0,0,0,0
0.049,0,0,0.538522,0.140001,0,0.730739,-0.0700004,-0.600234,-0.380034,0.132521
0.049,1,0,0,0,0,0,0,0,0,0
0.049,2,0,0,0,0,0,0,0,0,0
0.049,3,0,0,0,0,0,0,0,0,0
0.049,4,0,0,0,0,0,0,0,0,0
0.049,5,0,0,0,0,0,0,0,0,0
0.049,0,1,0,0,0,0,0,0,0,0
0.049,1,1,0,0,0,0,0,0,0,0
0.049,2,1,0,0,0,0,0,0,0,0
0.049,3,1,0,0,0,0,0,0,0,0
0.049,4,1,0,0,0,0,0,0,0,0
0.049,5,1,0,0,0,0,0,0,0,0
0.065,0,0,0.554564,0.134372,0,0.722718,-0.0671858,-0.60929,-0.409387,0.143023
0.065,1,0,0,0,0,0,0,0,0,0
0.065,2,0,0,0,0,0,0,0,0,0
0.065,3,0,0,0,0,0,0,0,0,0
0.065,4,0,0,0,0,0,0,0,0,0
0.065,5,0,0,0,0,0,0,0,0,0
0.065,0,1,0,0,0,0,0,0,0,0
0.065,1,1,0,0,0,0,0,0,0,0
0.065,2,1,0,0,0,0,0,0,0,0
0.065,3,1,0,0,0,0,0,0,0,0
0.065,4,1,0,0,0,0,0,0,0,0
0.065,5,1,0,0,0,0,0,0,0,0
0.082,0,0,0.571603,0.129541,0,0.714198,-0.0647704,-0.618792,-0.439181,0.144944
0.082,1,0,0,0,0,0,0,0,0,0
0.082,2,0,0,0,0,0,0,0,0,0
0.082,3,0,0,0,0,0,0,0,0,0
0.082,4,0,0,0,0,0,0,0,0,0
0.082,5,0,0,0,0,0,0,0,0,0
0.082,0,1,0,0,0,0,0,0,0,0
0.082,1,1,0,0,0,0,0,0,0,0
0.082,2,1,0,0,0,0,0,0,0,0
0.082,3,1,0,0,0,0,0,0,0,0
0.082,4,1,0,0,0,0,0,0,0,0
0.082,5,1,0,0,0,0,0,0,0,0
0.098,0,0,0.58773,0.126228,0,0.706135,-0.0631141,-0.628567,-0.454856,0.134917
0.098,1,0,0,0,0,0,0,0,0,0
0.098,2,0,0,0,0,0,0,0,0,0
0.098,3,0,0,0,0,0,0,0,0,0
0.098,4,0,0,0,0,0,0,0,0,0
0.098,5,0,0,0,0,0,0,0,0,0
0.098,0,1,0,0,0,0,0,0,0,0
0.098,1,1,0,0,0,0,0,0,0,0
0.098,2,1,0,0,0,0,0,0,0,0
0.098,3,1,0,0,0,0,0,0,0,0
0.098,4,1,0,0,0,0,0,0,0,0
0.098,5,1,0,0,0,0,0,0,0,0
0.113,0,0,0.600434,0.123715,0,0.699783,-0.0618577,-0.635681,-0.440856,0.121269
0.113,1,0,0,0,0,0,0,0,0,0
0.113,2,0,0,0,0,0,0,0,0,0
0.113,3,0,0,0,0,0,0,0,0,0
0.113,4,0,0,0,0,0,0,0,0,0
0.113,5,0,0,0,0,0,0,0,0,0
0.113,0,1,0,0,0,0,0,0,0,0
0.113,1,1,0,0,0,0,0,0,0,0
0.113,2,1,0,0,0,0,0,0,0,0
0.113,3,1,0,0,0,0,0,0,0,0
0.113,4,1,0,0,0,0,0,0,0,0
0.113,5,1,0,0,0,0,0,0,0,0
0.129,0,0,0.609998,0.12168,0,0.695001,-0.0608402,-0.643857,-0.406494,0.10731
0.129,1,0,0,0,0,0,0,0,0,0
0.129,2,0,0,0,0,0,0,0,0,0
0.129,3,0,0,0,0,0,0,0,0,0
0.129,4,0,0,0,0,0,0,0,0,0
0.129,5,0,0,0,0,0,0,0,0,0
0.129,0,1,0,0,0,0,0,0,0,0
0.129,1,1,0,0,0,0,0,0,0,0
0.129,2,1,0,0,0,0,0,0,0,0
0.129,3,1,0,0,0,0,0,0,0,0
0.129,4,1,0,0,0,0,0,0,0,0
0.129,5,1,0,0,0,0,0,0,0,0
0.146,0,0,0.61695,0.121906,0,0.691525,-0.0609532,-0.65345,-0.360688,0.0796282
0.146,1,0,0,0,0,0,0,0,0,0
0.146,2,0,0,0,0,0,0,0,0,0
0.146,3,0,0,0,0,0,0,0,0,0
0.146,4,0,0,0,0,0,0,0,0,0
0.146,5,0,0,0,0,0,0,0,0,0
