ElapsedTime,RobotID,Team,Vx_Command,Vy_Command,Angular_Command,Pos_X,Pos_Y,Orientation,Vx_Actual,Vy_Actual
0.008,0,0,0,0,0,3.06863e-15,2.47759e-05,1.5708,1.44549e-14,-2.69403e-20
0.008,1,0,0,0,0,-0.799975,-3.15,0,-2.65738e-15,-1.0337e-14
0.008,2,0,0,0,0,-1.19998,-3.15,0,-5.30748e-15,-1.0337e-14
0.008,3,0,0,0,0,-1.59998,-3.15,0,2.37115e-15,-1.0337e-14
0.008,4,0,0,0,0,-1.99998,-3.15,0,7.19447e-15,-1.0337e-14
0.008,5,0,0,0,0,-2.39998,-3.15,0,-1.01954e-14,-1.0337e-14
0.008,0,1,0,0,0,0.399975,-3.15,-3.14159,1.11734e-15,-5.57572e-15
0.008,1,1,0,0,0,0.799975,-3.15,3.14159,2.22613e-15,-5.57572e-15
0.008,2,1,0,0,0,1.19998,-3.15,-3.14159,2.89322e-15,-5.57572e-15
0.008,3,1,0,0,0,1.59998,-3.15,-3.14159,-2.57542e-15,-5.57572e-15
0.008,4,1,0,0,0,1.99998,-3.15,-3.14159,-7.42352e-15,-5.57572e-15
0.008,5,1,0,0,0,2.39998,-3.15,3.14159,-7.65104e-15,-5.57572e-15
0.008,-1,-1,0,0,0,-3.85867,2.63003,0,1.43129e-14,6.5453e-15
0.024,0,0,0,0,0,3.66823e-15,2.47759e-05,1.5708,1.04968e-14,7.1e-20
0.024,1,0,0,0,0,-0.799975,-3.15,0,-3.4597e-15,-1.35463e-14
0.024,2,0,0,0,0,-1.19998,-3.15,0,-6.91214e-15,-1.35463e-14
0.024,3,0,0,0,0,-1.59998,-3.15,0,7.66497e-16,-1.35463e-14
0.024,4,0,0,0,0,-1.99998,-3.15,0,7.19447e-15,-1.35463e-14
0.024,5,0,0,0,0,-2.39998,-3.15,0,-1.34047e-14,-1.35463e-14
0.024,0,1,0,0,0,0.399975,-3.15,-3.14159,1.51851e-15,-8.78503e-15
0.024,1,1,0,0,0,0.799975,-3.15,3.14159,3.02846e-15,-8.78503e-15
0.024,2,1,0,0,0,1.19998,-3.15,-3.14159,4.49788e-15,-8.78503e-15
0.024,3,1,0,0,0,1.59998,-3.15,-3.14159,-9.70764e-16,-8.78503e-15
0.024,4,1,0,0,0,1.99998,-3.15,-3.14159,-5.81887e-15,-8.78503e-15
0.024,5,1,0,0,0,2.39998,-3.15,3.14159,-4.44173e-15,-8.78503e-15
0.024,-1,-1,0,0,0,-3.85867,2.63003,0,1.11036e-14,9.75461e-15
0.040,0,0,0,0,0,1.03608e-15,2.47759e-05,1.5708,-1.11514e-14,9.54851e-20
0.040,1,0,0,0,0,-0.799975,-3.15,0,-3.4597e-15,-1.35463e-14
0.040,2,0,0,0,0,-1.19998,-3.15,0,-6.91214e-15,-1.35463e-14
0.040,3,0,0,0,0,-1.59998,-3.15,0,7.66497e-16,-1.35463e-14
0.040,4,0,0,0,0,-1.99998,-3.15,0,7.19447e-15,-1.35463e-14
0.040,5,0,0,0,0,-2.39998,-3.15,0,-1.34047e-14,-1.35463e-14
0.040,0,1,0,0,0,0.399975,-3.15,-3.14159,1.91967e-15,-1.19943e-14
0.040,1,1,0,0,0,0.799975,-3.15,3.14159,3.83079e-15,-1.19943e-14
0.040,2,1,0,0,0,1.19998,-3.15,-3.14159,4.49788e-15,-8.78503e-15
0.040,3,1,0,0,0,1.59998,-3.15,-3.14159,-9.70764e-16,-8.78503e-15
0.040,4,1,0,0,0,1.99998,-3.15,-3.14159,-5.81887e-15,-8.78503e-15
