ElapsedTime,RobotID,Team,Vx_Command,Vy_Command,Angular_Command,Pos_X,Pos_Y,Orientation,Vx_Actual,Vy_Actual
0.001,0,0,0,0,0,-0.0388607,0.0783277,-1.64784,0.000888961,-0.000142038
0.001,1,0,0,0,0,0,0,0,0,0
0.001,2,0,0,0,0,0,0,0,0,0
0.001,3,0,0,0,0,0,0,0,0,0
0.001,4,0,0,0,0,0,0,0,0,0
0.001,5,0,0,0,0,0,0,0,0,0
0.001,0,1,0,0,0,0,0,0,0,0
0.001,1,1,0,0,0,0,0,0,0,0
0.001,2,1,0,0,0,0,0,0,0,0
0.001,3,1,0,0,0,0,0,0,0,0
0.001,4,1,0,0,0,0,0,0,0,0
0.001,5,1,0,0,0,0,0,0,0,0
0.016,0,0,0,0,0,-0.0388181,0.0784055,-1.64826,0.00131851,0.00106893
0.016,1,0,0,0,0,0,0,0,0,0
0.016,2,0,0,0,0,0,0,0,0,0
0.016,3,0,0,0,0,0,0,0,0,0
0.016,4,0,0,0,0,0,0,0,0,0
0.016,5,0,0,0,0,0,0,0,0,0
0.016,0,1,0,0,0,0,0,0,0,0
0.016,1,1,0,0,0,0,0,0,0,0
0.016,2,1,0,0,0,0,0,0,0,0
0.016,3,1,0,0,0,0,0,0,0,0
0.016,4,1,0,0,0,0,0,0,0,0
0.016,5,1,0,0,0,0,0,0,0,0
0.032,0,0,0,0,0,-0.0387905,0.0783379,-1.64795,0.00141626,-0.000211613
0.032,1,0,0,0,0,0,0,0,0,0
0.032,2,0,0,0,0,0,0,0,0,0
0.032,3,0,0,0,0,0,0,0,0,0
0.032,4,0,0,0,0,0,0,0,0,0
0.032,5,0,0,0,0,0,0,0,0,0
0.032,0,1,0,0,0,0,0,0,0,0
0.032,1,1,0,0,0,0,0,0,0,0
0.032,2,1,0,0,0,0,0,0,0,0
0.032,3,1,0,0,0,0,0,0,0,0
0.032,4,1,0,0,0,0,0,0,0,0
0.032,5,1,0,0,0,0,0,0,0,0
0.048,0,0,0,0,0,-0.0388864,0.0781451,-1.64874,-0.000377351,-0.00307706
0.048,1,0,0,0,0,0,0,0,0,0
0.048,2,0,0,0,0,0,0,0,0,0
0.048,3,0,0,0,0,0,0,0,0,0
0.048,4,0,0,0,0,0,0,0,0,0
0.048,5,0,0,0,0,0,0,0,0,0
0.048,0,1,0,0,0,0,0,0,0,0
0.048,1,1,0,0,0,0,0,0,0,0
0.048,2,1,0,0,0,0,0,0,0,0
0.048,3,1,0,0,0,0,0,0,0,0
0.048,4,1,0,0,0,0,0,0,0,0
0.048,5,1,0,0,0,0,0,0,0,0
0.064,0,0,0,0,0,-0.0388864,0.0781451,-1.64874,-0.000377351,-0.00307706
0.064,1,0,0,0,0,0,0,0,0,0
0.064,2,0,0,0,0,0,0,0,0,0
0.064,3,0,0,0,0,0,0,0,0,0
0.064,4,0,0,0,0,0,0,0,0,0
0.064,5,0,0,0,0,0,0,0,0,0
0.064,0,1,0,0,0,0,0,0,0,0
0.064,1,1,0,0,0,0,0,0,0,0
0.064,2,1,0,0,0,0,0,0,0,0
0.064,3,1,0,0,0,0,0,0,0,0
0.064,4,1,0,0,0,0,0,0,0,0
0.064,5,1,0,0,0,0,0,0,0,0
0.081,0,0,0,0,0,-0.038896,0.0781898,-1.64836,-0.000431538,-0.00165616
0.081,1,0,0,0,0,0,0,0,0,0
0.081,2,0,0,0,0,0,0,0,0,0
0.081,3,0,0,0,0,0,0,0,0,0
0.081,4,0,0,0,0,0,0,0,0,0
0.081,5,0,0,0,0,0,0,0,0,0
0.081,0,1,0,0,0,0,0,0,0,0
0.081,1,1,0,0,0,0,0,0,0,0
0.081,2,1,0,0,0,0,0,0,0,0
0.081,3,1,0,0,0,0,0,0,0,0
0.081,4,1,0,0,0,0,0,0,0,0
0.081,5,1,0,0,0,0,0,0,0,0
0.096,0,0,0,0,0,-0.0389347,0.0782389,-1.6476,-0.000911974,-0.000512928
0.096,1,0,0,0,0,0,0,0,0,0
0.096,2,0,0,0,0,0,0,0,0,0
0.096,3,0,0,0,0,0,0,0,0,0
0.096,4,0,0,0,0,0,0,0,0,0
0.096,5,0,0,0,0,0,0,0,0,0
0.096,0,1,0,0,0,0,0,0,0,0
0.096,1,1,0,0,0,0,0,0,0,0
0.096,2,1,0,0,0,0,0,0,0,0
0.096,3,1,0,0,0,0,0,0,0,0
0.096,4,1,0,0,0,0,0,0,0,0
0.096,5,1,0,0,0,0,0,0,0,0
0.112,0,0,0,0,0,-0.0389355,0.0782339,-1.64681,-0.000704008,-0.000464666
0.112,1,0,0,0,0,0,0,0,0,0
0.112,2,0,0,0,0,0,0,0,0,0
0.112,3,0,0,0,0,0,0,0,0,0
0.112,4,0,0,0,0,0,0,0,0,0
0.112,5,0,0,0,0,0,0,0,0,0
0.112,0,1,0,0,0,0,0,0,0,0
0.112,1,1,0,0,0,0,0,0,0,0
0.112,2,1,0,0,0,0,0,0,0,0
0.112,3,1,0,0,0,0,0,0,0,0
0.112,4,1,0,0,0,0,0,0,0,0
0.112,5,1,0,0,0,0,0,0,0,0
0.128,0,0,0,0,0,-0.0388481,0.0783152,-1.6483,0.000788825,0.000878346
0.128,1,0,0,0,0,0,0,0,0,0
0.128,2,0,0,0,0,0,0,0,0,0
0.128,3,0,0,0,0,0,0,0,0,0
0.128,4,0,0,0,0,0,0,0,0,0
0.128,5,0,0,0,0,0,0,0,0,0
0.128,0,1,0,0,0,0,0,0,0,0
0.128,1,1,0,0,0,0,0,0,0,0
0.128,2,1,0,0,0,0,0,0,0,0
0.128,3,1,0,0,0,0,0,0,0,0
0.128,4,1,0,0,0,0,0,0,0,0
0.128,5,1,0,0,0,0,0,0,0,0
0.144,0,0,0,0,0,-0.0387361,0.0783129,-1.64936,0.00229309,0.000631009
0.144,1,0,0,0,0,0,0,0,0,0
0.144,2,0,0,0,0,0,0,0,0,0
0.144,3,0,0,0,0,0,0,0,0,0
0.144,4,0,0,0,0,0,0,0,0,0
0.144,5,0,0,0,0,0,0,0,0,0
0.144,0,1,0,0,0,0,0,0,0,0
0.144,1,1,0,0,0,0,0,0,0,0
0.144,2,1,0,0,0,0,0,0,0,0
0.144,3,1,0,0,0,0,0,0,0,0
0.144,4,1,0,0,0,0,0,0,0,0
0.144,5,1,0,0,0,0,0,0,0,0
0.160,0,0,0,0,0,-0.0388641,0.0783745,-1.64931,-0.000198278,0.00140968
0.160,1,0,0,0,0,0,0,0,0,0
0.160,2,0,0,0,0,0,0,0,0,0
0.160,3,0,0,0,0,0,0,0,0,0
0.160,4,0,0,0,0,0,0,0,0,0
0.160,5,0,0,0,0,0,0,0,0,0
0.160,0,1,0,0,0,0,0,0,0,0
0.160,1,1,0,0,0,0,0,0,0,0
0.160,2,1,0,0,0,0,0,0,0,0
0.160,3,1,0,0,0,0,0,0,0,0
0.160,4,1,0,0,0,0,0,0,0,0
0.160,5,1,0,0,0,0,0,0,0,0
0.177,0,0,0,0,0,-0.0387756,0.0784531,-1.64891,0.00118731,0.00225704
0.177,1,0,0,0,0,0,0,0,0,0
0.177,2,0,0,0,0,0,0,0,0,0
0.177,3,0,0,0,0,0,0,0,0,0
0.177,4,0,0,0,0,0,0,0,0,0
0.177,5,0,0,0,0,0,0,0,0,0
0.177,0,1,0,0,0,0,0,0,0,0
0.177,1,1,0,0,0,0,0,0,0,0
0.177,2,1,0,0,0,0,0,0,0,0
0.177,3,1,0,0,0,0,0,0,0,0
0.177,4,1,0,0,0,0,0,0,0,0
0.177,5,1,0,0,0,0,0,0,0,0
0.192,0,0,0,0,0,-0.0388426,0.0783133,-1.64793,-0.000112559,-0.000403082
0.192,1,0,0,0,0,0,0,0,0,0
0.192,2,0,0,0,0,0,0,0,0,0
0.192,3,0,0,0,0,0,0,0,0,0
0.192,4,0,0,0,0,0,0,0,0,0
0.192,5,0,0,0,0,0,0,0,0,0
0.192,0,1,0,0,0,0,0,0,0,0
0.192,1,1,0,0,0,0,0,0,0,0
0.192,2,1,0,0,0,0,0,0,0,0
0.192,3,1,0,0,0,0,0,0,0,0
0.192,4,1,0,0,0,0,0,0,0,0
0.192,5,1,0,0,0,0,0,0,0,0
0.208,0,0,0,0,0,-0.0388551,0.0783338,-1.64782,-0.000274272,4.43684e-06
0.208,1,0,0,0,0,0,0,0,0,0
0.208,2,0,0,0,0,0,0,0,0,0
0.208,3,0,0,0,0,0,0,0,0,0
0.208,4,0,0,0,0,0,0,0,0,0
0.208,5,0,0,0,0,0,0,0,0,0
0.208,0,1,0,0,0,0,0,0,0,0
0.208,1,1,0,0,0,0,0,0,0,0
0.208,2,1,0,0,0,0,0,0,0,0
0.208,3,1,0,0,0,0,0,0,0,0
0.208,4,1,0,0,0,0,0,0,0,0
0.208,5,1,0,0,0,0,0,0,0,0
0.224,0,0,0,0,0,-0.0387815,0.0782669,-1.64843,0.000904436,-0.00100797
0.224,1,0,0,0,0,0,0,0,0,0
0.224,2,0,0,0,0,0,0,0,0,0
0.224,3,0,0,0,0,0,0,0,0,0
0.224,4,0,0,0,0,0,0,0,0,0
0.224,5,0,0,0,0,0,0,0,0,0
0.224,0,1,0,0,0,0,0,0,0,0
0.224,1,1,0,0,0,0,0,0,0,0
0.224,2,1,0,0,0,0,0,0,0,0
0.224,3,1,0,0,0,0,0,0,0,0
0.224,4,1,0,0,0,0,0,0,0,0
0.224,5,1,0,0,0,0,0,0,0,0
0.240,0,0,0,0,0,-0.0387365,0.078178,-1.64757,0.0013672,-0.00210994
0.240,1,0,0,0,0,0,0,0,0,0
0.240,2,0,0,0,0,0,0,0,0,0
0.240,3,0,0,0,0,0,0,0,0,0
0.240,4,0,0,0,0,0,0,0,0,0
0.240,5,0,0,0,0,0,0,0,0,0
0.240,0,1,0,0,0,0,0,0,0,0
0.240,1,1,0,0,0,0,0,0,0,0
0.240,2,1,0,0,0,0,0,0,0,0
0.240,3,1,0,0,0,0,0,0,0,0
0.240,4,1,0,0,0,0,0,0,0,0
0.240,5,1,0,0,0,0,0,0,0,0
0.256,0,0,0,0,0,-0.038847,0.0782434,-1.64714,-0.000634931,-0.000609247
0.256,1,0,0,0,0,0,0,0,0,0
