ElapsedTime,RobotID,Team,Vx_Command,Vy_Command,Angular_Command,Pos_X,Pos_Y,Orientation,Vx_Actual,Vy_Actual
0.012,0,0,0.823445,-0.205192,0.0333421,-0.750359,-0.198052,2.46261,-0.215698,0.0354385
0.012,1,0,0,0,0,0,0,0,0,0
0.012,2,0,0,0,0,0,0,0,0,0
0.012,3,0,0,0,0,0,0,0,0,0
0.012,4,0,0,0,0,0,0,0,0,0
0.012,5,0,0,0,0,0,0,0,0,0
0.012,0,1,0,0,0,0,0,0,0,0
0.012,1,1,0,0,0,0,0,0,0,0
0.012,2,1,0,0,0,0,0,0,0,0
0.012,3,1,0,0,0,0,0,0,0,0
0.012,4,1,0,0,0,0,0,0,0,0
0.012,5,1,0,0,0,0,0,0,0,0
0.028,0,0,0.818632,-0.219091,-0.0670246,-0.754959,-0.197375,2.48023,-0.233076,0.0371125
0.028,1,0,0,0,0,0,0,0,0,0
0.028,2,0,0,0,0,0,0,0,0,0
0.028,3,0,0,0,0,0,0,0,0,0
0.028,4,0,0,0,0,0,0,0,0,0
0.028,5,0,0,0,0,0,0,0,0,0
0.028,0,1,0,0,0,0,0,0,0,0
0.028,1,1,0,0,0,0,0,0,0,0
0.028,2,1,0,0,0,0,0,0,0,0
0.028,3,1,0,0,0,0,0,0,0,0
0.028,4,1,0,0,0,0,0,0,0,0
0.028,5,1,0,0,0,0,0,0,0,0
0.044,0,0,0.813279,-0.230339,-0.151766,-0.759727,-0.195846,2.49554,-0.24879,0.0512478
0.044,1,0,0,0,0,0,0,0,0,0
0.044,2,0,0,0,0,0,0,0,0,0
0.044,3,0,0,0,0,0,0,0,0,0
0.044,4,0,0,0,0,0,0,0,0,0
0.044,5,0,0,0,0,0,0,0,0,0
0.044,0,1,0,0,0,0,0,0,0,0
0.044,1,1,0,0,0,0,0,0,0,0
0.044,2,1,0,0,0,0,0,0,0,0
0.044,3,1,0,0,0,0,0,0,0,0
0.044,4,1,0,0,0,0,0,0,0,0
0.044,5,1,0,0,0,0,0,0,0,0
0.060,0,0,0.807983,-0.241178,-0.239694,-0.765013,-0.193861,2.51155,-0.268543,0.068886
0.060,1,0,0,0,0,0,0,0,0,0
0.060,2,0,0,0,0,0,0,0,0,0
0.060,3,0,0,0,0,0,0,0,0,0
0.060,4,0,0,0,0,0,0,0,0,0
0.060,5,0,0,0,0,0,0,0,0,0
0.060,0,1,0,0,0,0,0,0,0,0
0.060,1,1,0,0,0,0,0,0,0,0
0.060,2,1,0,0,0,0,0,0,0,0
0.060,3,1,0,0,0,0,0,0,0,0
0.060,4,1,0,0,0,0,0,0,0,0
0.060,5,1,0,0,0,0,0,0,0,0
0.076,0,0,0.803071,-0.249847,-0.31943,-0.770675,-0.191459,2.52557,-0.289196,0.0885438
0.076,1,0,0,0,0,0,0,0,0,0
0.076,2,0,0,0,0,0,0,0,0,0
0.076,3,0,0,0,0,0,0,0,0,0
0.076,4,0,0,0,0,0,0,0,0,0
0.076,5,0,0,0,0,0,0,0,0,0
0.076,0,1,0,0,0,0,0,0,0,0
0.076,1,1,0,0,0,0,0,0,0,0
0.076,2,1,0,0,0,0,0,0,0,0
0.076,3,1,0,0,0,0,0,0,0,0
0.076,4,1,0,0,0,0,0,0,0,0
0.076,5,1,0,0,0,0,0,0,0,0
0.092,0,0,0.798701,-0.255899,-0.388833,-0.776629,-0.188875,2.5366,-0.309267,0.106198
0.092,1,0,0,0,0,0,0,0,0,0
0.092,2,0,0,0,0,0,0,0,0,0
0.092,3,0,0,0,0,0,0,0,0,0
0.092,4,0,0,0,0,0,0,0,0,0
0.092,5,0,0,0,0,0,0,0,0,0
0.092,0,1,0,0,0,0,0,0,0,0
0.092,1,1,0,0,0,0,0,0,0,0
0.092,2,1,0,0,0,0,0,0,0,0
0.092,3,1,0,0,0,0,0,0,0,0
0.092,4,1,0,0,0,0,0,0,0,0
0.092,5,1,0,0,0,0,0,0,0,0
0.107,0,0,0.793155,-0.261909,-0.454137,-0.782501,-0.18617,2.54685,-0.323236,0.121406
0.107,1,0,0,0,0,0,0,0,0,0
0.107,2,0,0,0,0,0,0,0,0,0
0.107,3,0,0,0,0,0,0,0,0,0
0.107,4,0,0,0,0,0,0,0,0,0
0.107,5,0,0,0,0,0,0,0,0,0
0.107,0,1,0,0,0,0,0,0,0,0
0.107,1,1,0,0,0,0,0,0,0,0
