ElapsedTime,RobotID,Team,Vx_Command,Vy_Command,Angular_Command,Pos_X,Pos_Y,Orientation,Vx_Actual,Vy_Actual
0.000,0,0,0,0,0,-0.95295,-0.272822,2.06317,-0.000755645,0.00129593
0.000,1,0,0,0,0,0,0,0,0,0
0.000,2,0,0,0,0,0,0,0,0,0
0.000,3,0,0,0,0,0,0,0,0,0
0.000,4,0,0,0,0,0,0,0,0,0
0.000,5,0,0,0,0,0,0,0,0,0
0.000,0,1,0,0,0,0,0,0,0,0
0.000,1,1,0,0,0,0,0,0,0,0
0.000,2,1,0,0,0,0,0,0,0,0
0.000,3,1,0,0,0,0,0,0,0,0
0.000,4,1,0,0,0,0,0,0,0,0
0.000,5,1,0,0,0,0,0,0,0,0
0.015,0,0,0,0,0,-0.95295,-0.272822,2.06317,-0.000755645,0.00129593
0.015,1,0,0,0,0,0,0,0,0,0
0.015,2,0,0,0,0,0,0,0,0,0
0.015,3,0,0,0,0,0,0,0,0,0
0.015,4,0,0,0,0,0,0,0,0,0
0.015,5,0,0,0,0,0,0,0,0,0
0.015,0,1,0,0,0,0,0,0,0,0
0.015,1,1,0,0,0,0,0,0,0,0
0.015,2,1,0,0,0,0,0,0,0,0
0.015,3,1,0,0,0,0,0,0,0,0
0.015,4,1,0,0,0,0,0,0,0,0
0.015,5,1,0,0,0,0,0,0,0,0
0.031,0,0,0,0,0,-0.952906,-0.272791,2.06462,8.93492e-05,0.00145156
0.031,1,0,0,0,0,0,0,0,0,0
0.031,2,0,0,0,0,0,0,0,0,0
0.031,3,0,0,0,0,0,0,0,0,0
0.031,4,0,0,0,0,0,0,0,0,0
0.031,5,0,0,0,0,0,0,0,0,0
0.031,0,1,0,0,0,0,0,0,0,0
0.031,1,1,0,0,0,0,0,0,0,0
0.031,2,1,0,0,0,0,0,0,0,0
0.031,3,1,0,0,0,0,0,0,0,0
0.031,4,1,0,0,0,0,0,0,0,0
0.031,5,1,0,0,0,0,0,0,0,0
0.047,0,0,0,0,0,-0.952934,-0.272766,2.06492,-0.00035151,0.00147054
0.047,1,0,0,0,0,0,0,0,0,0
0.047,2,0,0,0,0,0,0,0,0,0
0.047,3,0,0,0,0,0,0,0,0,0
0.047,4,0,0,0,0,0,0,0,0,0
0.047,5,0,0,0,0,0,0,0,0,0
0.047,0,1,0,0,0,0,0,0,0,0
0.047,1,1,0,0,0,0,0,0,0,0
0.047,2,1,0,0,0,0,0,0,0,0
0.047,3,1,0,0,0,0,0,0,0,0
0.047,4,1,0,0,0,0,0,0,0,0
0.047,5,1,0,0,0,0,0,0,0,0
0.063,0,0,0,0,0,-0.952933,-0.272738,2.06298,-0.000260691,0.00155206
0.063,1,0,0,0,0,0,0,0,0,0
0.063,2,0,0,0,0,0,0,0,0,0
0.063,3,0,0,0,0,0,0,0,0,0
0.063,4,0,0,0,0,0,0,0,0,0
0.063,5,0,0,0,0,0,0,0,0,0
0.063,0,1,0,0,0,0,0,0,0,0
0.063,1,1,0,0,0,0,0,0,0,0
0.063,2,1,0,0,0,0,0,0,0,0
0.063,3,1,0,0,0,0,0,0,0,0
0.063,4,1,0,0,0,0,0,0,0,0
0.063,5,1,0,0,0,0,0,0,0,0
0.080,0,0,0,0,0,-0.952838,-0.272795,2.06315,0.00124481,0.000306647
0.080,1,0,0,0,0,0,0,0,0,0
0.080,2,0,0,0,0,0,0,0,0,0
0.080,3,0,0,0,0,0,0,0,0,0
0.080,4,0,0,0,0,0,0,0,0,0
0.080,5,0,0,0,0,0,0,0,0,0
0.080,0,1,0,0,0,0,0,0,0,0
0.080,1,1,0,0,0,0,0,0,0,0
0.080,2,1,0,0,0,0,0,0,0,0
0.080,3,1,0,0,0,0,0,0,0,0
0.080,4,1,0,0,0,0,0,0,0,0
0.080,5,1,0,0,0,0,0,0,0,0
0.095,0,0,0,0,0,-0.952808,-0.272854,2.06569,0.00140297,-0.000658786
0.095,1,0,0,0,0,0,0,0,0,0
0.095,2,0,0,0,0,0,0,0,0,0
0.095,3,0,0,0,0,0,0,0,0,0
0.095,4,0,0,0,0,0,0,0,0,0
0.095,5,0,0,0,0,0,0,0,0,0
0.095,0,1,0,0,0,0,0,0,0,0
0.095,1,1,0,0,0,0,0,0,0,0
0.095,2,1,0,0,0,0,0,0,0,0
0.095,3,1,0,0,0,0,0,0,0,0
0.095,4,1,0,0,0,0,0,0,0,0
0.095,5,1,0,0,0,0,0,0,0,0
0.111,0,0,0,0,0,-0.952855,-0.272806,2.06487,0.000351152,0.000225238
0.111,1,0,0,0,0,0,0,0,0,0
0.111,2,0,0,0,0,0,0,0,0,0
0.111,3,0,0,0,0,0,0,0,0,0
0.111,4,0,0,0,0,0,0,0,0,0
0.111,5,0,0,0,0,0,0,0,0,0
0.111,0,1,0,0,0,0,0,0,0,0
0.111,1,1,0,0,0,0,0,0,0,0
0.111,2,1,0,0,0,0,0,0,0,0
0.111,3,1,0,0,0,0,0,0,0,0
0.111,4,1,0,0,0,0,0,0,0,0
0.111,5,1,0,0,0,0,0,0,0,0
0.127,0,0,0,0,0,-0.952876,-0.272752,2.06452,-5.61302e-05,0.00098351
0.127,1,0,0,0,0,0,0,0,0,0
0.127,2,0,0,0,0,0,0,0,0,0
0.127,3,0,0,0,0,0,0,0,0,0
0.127,4,0,0,0,0,0,0,0,0,0
0.127,5,0,0,0,0,0,0,0,0,0
0.127,0,1,0,0,0,0,0,0,0,0
0.127,1,1,0,0,0,0,0,0,0,0
0.127,2,1,0,0,0,0,0,0,0,0
0.127,3,1,0,0,0,0,0,0,0,0
0.127,4,1,0,0,0,0,0,0,0,0
0.127,5,1,0,0,0,0,0,0,0,0
0.144,0,0,0,0,0,-0.952824,-0.27276,2.06419,0.000736986,0.000634326
0.144,1,0,0,0,0,0,0,0,0,0
0.144,2,0,0,0,0,0,0,0,0,0
0.144,3,0,0,0,0,0,0,0,0,0
0.144,4,0,0,0,0,0,0,0,0,0
0.144,5,0,0,0,0,0,0,0,0,0
0.144,0,1,0,0,0,0,0,0,0,0
0.144,1,1,0,0,0,0,0,0,0,0
0.144,2,1,0,0,0,0,0,0,0,0
0.144,3,1,0,0,0,0,0,0,0,0
0.144,4,1,0,0,0,0,0,0,0,0
0.144,5,1,0,0,0,0,0,0,0,0
0.159,0,0,0,0,0,-0.952825,-0.273013,2.06388,0.000556837,-0.00335552
0.159,1,0,0,0,0,0,0,0,0,0
0.159,2,0,0,0,0,0,0,0,0,0
0.159,3,0,0,0,0,0,0,0,0,0
0.159,4,0,0,0,0,0,0,0,0,0
0.159,5,0,0,0,0,0,0,0,0,0
0.159,0,1,0,0,0,0,0,0,0,0
0.159,1,1,0,0,0,0,0,0,0,0
0.159,2,1,0,0,0,0,0,0,0,0
0.159,3,1,0,0,0,0,0,0,0,0
0.159,4,1,0,0,0,0,0,0,0,0
0.159,5,1,0,0,0,0,0,0,0,0
0.176,0,0,0,0,0,-0.952871,-0.273002,2.06265,-0.000280058,-0.00237222
0.176,1,0,0,0,0,0,0,0,0,0
0.176,2,0,0,0,0,0,0,0,0,0
0.176,3,0,0,0,0,0,0,0,0,0
0.176,4,0,0,0,0,0,0,0,0,0
0.176,5,0,0,0,0,0,0,0,0,0
0.176,0,1,0,0,0,0,0,0,0,0
0.176,1,1,0,0,0,0,0,0,0,0
0.176,2,1,0,0,0,0,0,0,0,0
0.176,3,1,0,0,0,0,0,0,0,0
0.176,4,1,0,0,0,0,0,0,0,0
0.176,5,1,0,0,0,0,0,0,0,0
0.191,0,0,0,0,0,-0.952769,-0.273006,2.06188,0.00133459,-0.0018549
0.191,1,0,0,0,0,0,0,0,0,0
0.191,2,0,0,0,0,0,0,0,0,0
0.191,3,0,0,0,0,0,0,0,0,0
0.191,4,0,0,0,0,0,0,0,0,0
0.191,5,0,0,0,0,0,0,0,0,0
0.191,0,1,0,0,0,0,0,0,0,0
0.191,1,1,0,0,0,0,0,0,0,0
0.191,2,1,0,0,0,0,0,0,0,0
0.191,3,1,0,0,0,0,0,0,0,0
0.191,4,1,0,0,0,0,0,0,0,0
0.191,5,1,0,0,0,0,0,0,0,0
0.207,0,0,0,0,0,-0.952872,-0.272918,2.06296,-0.000544145,-7.37082e-05
0.207,1,0,0,0,0,0,0,0,0,0
0.207,2,0,0,0,0,0,0,0,0,0
0.207,3,0,0,0,0,0,0,0,0,0
0.207,4,0,0,0,0,0,0,0,0,0
0.207,5,0,0,0,0,0,0,0,0,0
0.207,0,1,0,0,0,0,0,0,0,0
0.207,1,1,0,0,0,0,0,0,0,0
0.207,2,1,0,0,0,0,0,0,0,0
0.207,3,1,0,0,0,0,0,0,0,0
0.207,4,1,0,0,0,0,0,0,0,0
0.207,5,1,0,0,0,0,0,0,0,0
0.224,0,0,0,0,0,-0.952872,-0.272981,2.06208,-0.000420862,-0.00100675
0.224,1,0,0,0,0,0,0,0,0,0
0.224,2,0,0,0,0,0,0,0,0,0
0.224,3,0,0,0,0,0,0,0,0,0
0.224,4,0,0,0,0,0,0,0,0,0
0.224,5,0,0,0,0,0,0,0,0,0
0.224,0,1,0,0,0,0,0,0,0,0
0.224,1,1,0,0,0,0,0,0,0,0
0.224,2,1,0,0,0,0,0,0,0,0
0.224,3,1,0,0,0,0,0,0,0,0
0.224,4,1,0,0,0,0,0,0,0,0
0.224,5,1,0,0,0,0,0,0,0,0
0.239,0,0,0,0,0,-0.952852,-0.272874,2.06265,-1.57672e-05,0.000851909
0.239,1,0,0,0,0,0,0,0,0,0
0.239,2,0,0,0,0,0,0,0,0,0
0.239,3,0,0,0,0,0,0,0,0,0
0.239,4,0,0,0,0,0,0,0,0,0
0.239,5,0,0,0,0,0,0,0,0,0
0.239,0,1,0,0,0,0,0,0,0,0
0.239,1,1,0,0,0,0,0,0,0,0
0.239,2,1,0,0,0,0,0,0,0,0
0.239,3,1,0,0,0,0,0,0,0,0
0.239,4,1,0,0,0,0,0,0,0,0
0.239,5,1,0,0,0,0,0,0,0,0
0.255,0,0,0,0,0,-0.952883,-0.272871,2.06378,-0.000479514,0.000685141
0.255,1,0,0,0,0,0,0,0,0,0
0.255,2,0,0,0,0,0,0,0,0,0
0.255,3,0,0,0,0,0,0,0,0,0
0.255,4,0,0,0,0,0,0,0,0,0
0.255,5,0,0,0,0,0,0,0,0,0
0.255,0,1,0,0,0,0,0,0,0,0
0.255,1,1,0,0,0,0,0,0,0,0
0.255,2,1,0,0,0,0,0,0,0,0
0.255,3,1,0,0,0,0,0,0,0,0
0.255,4,1,0,0,0,0,0,0,0,0
0.255,5,1,0,0,0,0,0,0,0,0
0.271,0,0,0,0,0,-0.952953,-0.272736,2.06406,-0.00142093,0.00256681
0.271,1,0,0,0,0,0,0,0,0,0
0.271,2,0,0,0,0,0,0,0,0,0
0.271,3,0,0,0,0,0,0,0,0,0
0.271,4,0,0,0,0,0,0,0,0,0
0.271,5,0,0,0,0,0,0,0,0,0
0.271,0,1,0,0,0,0,0,0,0,0
0.271,1,1,0,0,0,0,0,0,0,0
0.271,2,1,0,0,0,0,0,0,0,0
0.271,3,1,0,0,0,0,0,0,0,0
0.271,4,1,0,0,0,0,0,0,0,0
0.271,5,1,0,0,0,0,0,0,0,0
0.287,0,0,0,0,0,-0.952962,-0.27278,2.06362,-0.00121934,0.00127108
0.287,1,0,0,0,0,0,0,0,0,0
0.287,2,0,0,0,0,0,0,0,0,0
0.287,3,0,0,0,0,0,0,0,0,0
0.287,4,0,0,0,0,0,0,0,0,0
0.287,5,0,0,0,0,0,0,0,0,0
0.287,0,1,0,0,0,0,0,0,0,0
0.287,1,1,0,0,0,0,0,0,0,0
0.287,2,1,0,0,0,0,0,0,0,0
0.287,3,1,0,0,0,0,0,0,0,0
0.287,4,1,0,0,0,0,0,0,0,0
0.287,5,1,0,0,0,0,0,0,0,0
0.304,0,0,0,0,0,-0.952931,-0.272826,2.06337,-0.000447983,0.000272303
0.304,1,0,0,0,0,0,0,0,0,0
0.304,2,0,0,0,0,0,0,0,0,0
0.304,3,0,0,0,0,0,0,0,0,0
0.304,4,0,0,0,0,0,0,0,0,0
0.304,5,0,0,0,0,0,0,0,0,0
0.304,0,1,0,0,0,0,0,0,0,0
0.304,1,1,0,0,0,0,0,0,0,0
0.304,2,1,0,0,0,0,0,0,0,0
0.304,3,1,0,0,0,0,0,0,0,0
0.304,4,1,0,0,0,0,0,0,0,0
0.304,5,1,0,0,0,0,0,0,0,0
0.319,0,0,0,0,0,-0.952909,-0.272743,2.06338,-8.84775e-06,0.00145662
0.319,1,0,0,0,0,0,0,0,0,0
0.319,2,0,0,0,0,0,0,0,0,0
0.319,3,0,0,0,0,0,0,0,0,0
0.319,4,0,0,0,0,0,0,0,0,0
0.319,5,0,0,0,0,0,0,0,0,0
0.319,0,1,0,0,0,0,0,0,0,0
0.319,1,1,0,0,0,0,0,0,0,0
0.319,2,1,0,0,0,0,0,0,0,0
0.319,3,1,0,0,0,0,0,0,0,0
0.319,4,1,0,0,0,0,0,0,0,0
0.319,5,1,0,0,0,0,0,0,0,0
0.335,0,0,0,0,0,-0.952936,-0.272792,2.06365,-0.000412542,0.000376697
0.335,1,0,0,0,0,0,0,0,0,0
0.335,2,0,0,0,0,0,0,0,0,0
0.335,3,0,0,0,0,0,0,0,0,0
0.335,4,0,0,0,0,0,0,0,0,0
0.335,5,0,0,0,0,0,0,0,0,0
0.335,0,1,0,0,0,0,0,0,0,0
0.335,1,1,0,0,0,0,0,0,0,0
0.335,2,1,0,0,0,0,0,0,0,0
0.335,3,1,0,0,0,0,0,0,0,0
0.335,4,1,0,0,0,0,0,0,0,0
0.335,5,1,0,0,0,0,0,0,0,0
0.351,0,0,0,0,0,-0.952818,-0.272922,2.06409,0.00146736,-0.0016885
0.351,1,0,0,0,0,0,0,0,0,0
0.351,2,0,0,0,0,0,0,0,0,0
0.351,3,0,0,0,0,0,0,0,0,0
0.351,4,0,0,0,0,0,0,0,0,0
0.351,5,0,0,0,0,0,0,0,0,0
0.351,0,1,0,0,0,0,0,0,0,0
0.351,1,1,0,0,0,0,0,0,0,0
0.351,2,1,0,0,0,0,0,0,0,0
0.351,3,1,0,0,0,0,0,0,0,0
0.351,4,1,0,0,0,0,0,0,0,0
0.351,5,1,0,0,0,0,0,0,0,0
0.367,0,0,0,0,0,-0.952805,-0.272811,2.06413,0.00131547,0.000406143
0.367,1,0,0,0,0,0,0,0,0,0
0.367,2,0,0,0,0,0,0,0,0,0
0.367,3,0,0,0,0,0,0,0,0,0
0.367,4,0,0,0,0,0,0,0,0,0
0.367,5,0,0,0,0,0,0,0,0,0
0.367,0,1,0,0,0,0,0,0,0,0
0.367,1,1,0,0,0,0,0,0,0,0
0.367,2,1,0,0,0,0,0,0,0,0
0.367,3,1,0,0,0,0,0,0,0,0
0.367,4,1,0,0,0,0,0,0,0,0
0.367,5,1,0,0,0,0,0,0,0,0
0.383,0,0,0,0,0,-0.952845,-0.27289,2.06369,0.000393981,-0.000891648
0.383,1,0,0,0,0,0,0,0,0,0
0.383,2,0,0,0,0,0,0,0,0,0
0.383,3,0,0,0,0,0,0,0,0,0
0.383,4,0,0,0,0,0,0,0,0,0
0.383,5,0,0,0,0,0,0,0,0,0
0.383,0,1,0,0,0,0,0,0,0,0
0.383,1,1,0,0,0,0,0,0,0,0
0.383,2,1,0,0,0,0,0,0,0,0
0.383,3,1,0,0,0,0,0,0,0,0
0.383,4,1,0,0,0,0,0,0,0,0
0.383,5,1,0,0,0,0,0,0,0,0
0.400,0,0,0,0,0,-0.952859,-0.272877,2.06539,7.17806e-05,-0.000480564
0.400,1,0,0,0,0,0,0,0,0,0
0.400,2,0,0,0,0,0,0,0,0,0
0.400,3,0,0,0,0,0,0,0,0,0
0.400,4,0,0,0,0,0,0,0,0,0
0.400,5,0,0,0,0,0,0,0,0,0
0.400,0,1,0,0,0,0,0,0,0,0
0.400,1,1,0,0,0,0,0,0,0,0
0.400,2,1,0,0,0,0,0,0,0,0
0.400,3,1,0,0,0,0,0,0,0,0
0.400,4,1,0,0,0,0,0,0,0,0
0.400,5,1,0,0,0,0,0,0,0,0
0.415,0,0,0,0,0,-0.95277,-0.27296,2.06501,0.00140627,-0.00161756
0.415,1,0,0,0,0,0,0,0,0,0
0.415,2,0,0,0,0,0,0,0,0,0
0.415,3,0,0,0,0,0,0,0,0,0
0.415,4,0,0,0,0,0,0,0,0,0
0.415,5,0,0,0,0,0,0,0,0,0
0.415,0,1,0,0,0,0,0,0,0,0
0.415,1,1,0,0,0,0,0,0,0,0
0.415,2,1,0,0,0,0,0,0,0,0
0.415,3,1,0,0,0,0,0,0,0,0
0.415,4,1,0,0,0,0,0,0,0,0
0.415,5,1,0,0,0,0,0,0,0,0
0.431,0,0,0,0,0,-0.952737,-0.272945,2.06458,0.00156758,-0.00100604
0.431,1,0,0,0,0,0,0,0,0,0
0.431,2,0,0,0,0,0,0,0,0,0
0.431,3,0,0,0,0,0,0,0,0,0
